00:00.329  blend            | Read blend: "/Users/dk/Projects/3d render blender 3rd attempt building/.claude/worktrees/lighting/assets/lighting.blend"
[check] linked ARCH: ok
[check] linked ENV: ok
[common] set_lod viewport=LOD1 render=LOD0: 5128 objects, 6 collections
[check] 307 samples x 96 rays in 29.8s

  frame     t |      x      y     z | nearest  what                              |   agl surface                    | speed  leg
      1   0.0 |  -14.1  100.0  1.60 |    2.93  ENV_lagoon_water                 |  2.90 ENV_lagoon_water           |  0.00  water
      5   0.2 |  -14.1  100.0  1.60 |    2.93  ENV_lagoon_water                 |  2.90 ENV_lagoon_water           |  0.00  water
      9   0.3 |  -14.1  100.0  1.60 |    2.93  ENV_lagoon_water                 |  2.90 ENV_lagoon_water           |  0.00  water
     13   0.5 |  -14.1  100.0  1.60 |    2.93  ENV_lagoon_water                 |  2.90 ENV_lagoon_water           |  0.00  water
     17   0.7 |  -14.1  100.0  1.60 |    2.93  ENV_lagoon_water                 |  2.90 ENV_lagoon_water           |  0.00  water
     21   0.8 |  -14.1  100.0  1.60 |    2.93  ENV_lagoon_water                 |  2.90 ENV_lagoon_water           |  0.00  water
     25   1.0 |  -14.1  100.0  1.60 |    2.93  ENV_lagoon_water                 |  2.90 ENV_lagoon_water           |  0.00  water
     29   1.2 |  -14.1  100.0  1.60 |    2.93  ENV_lagoon_water                 |  2.90 ENV_lagoon_water           |  0.00  water
     33   1.3 |  -14.1  100.0  1.60 |    2.93  ENV_lagoon_water                 |  2.90 ENV_lagoon_water           |  0.00  water
     37   1.5 |  -14.1  100.0  1.60 |    2.93  ENV_lagoon_water                 |  2.90 ENV_lagoon_water           |  0.00  water
     41   1.7 |  -14.1  100.0  1.60 |    2.93  ENV_lagoon_water                 |  2.90 ENV_lagoon_water           |  0.00  water
     45   1.8 |  -14.1  100.0  1.60 |    2.93  ENV_lagoon_water                 |  2.90 ENV_lagoon_water           |  0.00  water
     49   2.0 |  -14.1  100.0  1.60 |    2.93  ENV_lagoon_water                 |  2.90 ENV_lagoon_water           |  0.00  water
     53   2.2 |  -14.1  100.0  1.60 |    2.93  ENV_lagoon_water                 |  2.90 ENV_lagoon_water           |  0.00  water
     57   2.3 |  -14.1  100.0  1.60 |    2.93  ENV_lagoon_water                 |  2.90 ENV_lagoon_water           |  0.00  water
     61   2.5 |  -14.1  100.0  1.60 |    2.93  ENV_lagoon_water                 |  2.90 ENV_lagoon_water           |  0.00  water
     65   2.7 |  -14.1  100.0  1.60 |    2.93  ENV_lagoon_water                 |  2.90 ENV_lagoon_water           |  0.00  water
     69   2.8 |  -14.1  100.0  1.60 |    2.93  ENV_lagoon_water                 |  2.90 ENV_lagoon_water           |  0.00  water
     73   3.0 |  -14.1  100.0  1.60 |    2.93  ENV_lagoon_water                 |  2.90 ENV_lagoon_water           |  0.00  water
     77   3.2 |  -14.1  100.0  1.60 |    2.93  ENV_lagoon_water                 |  2.90 ENV_lagoon_water           |  0.00  water
     81   3.3 |  -14.1  100.0  1.60 |    2.93  ENV_lagoon_water                 |  2.90 ENV_lagoon_water           |  0.00  water
     85   3.5 |  -14.1  100.0  1.60 |    2.93  ENV_lagoon_water                 |  2.90 ENV_lagoon_water           |  0.50  water
     89   3.7 |  -14.0  100.0  1.60 |    2.93  ENV_lagoon_water                 |  2.90 ENV_lagoon_water           |  0.50  water
     93   3.8 |  -13.9  100.0  1.61 |    2.94  ENV_lagoon_water                 |  2.91 ENV_lagoon_water           |  0.50  water
     97   4.0 |  -13.7  100.0  1.61 |    2.94  ENV_lagoon_water                 |  2.91 ENV_lagoon_water           |  1.21  water
    101   4.2 |  -13.5  100.0  1.62 |    2.95  ENV_lagoon_water                 |  2.92 ENV_lagoon_water           |  1.68  water
    105   4.3 |  -13.1  100.0  1.63 |    2.96  ENV_lagoon_water                 |  2.93 ENV_lagoon_water           |  2.12  water
    109   4.5 |  -12.7   99.9  1.64 |    2.97  ENV_lagoon_water                 |  2.94 ENV_lagoon_water           |  2.55  water
    113   4.7 |  -12.3   99.9  1.65 |    2.99  ENV_lagoon_water                 |  2.95 ENV_lagoon_water           |  2.95  water
    117   4.8 |  -11.7   99.9  1.67 |    3.00  ENV_lagoon_water                 |  2.97 ENV_lagoon_water           |  3.39  water
    121   5.0 |  -11.1   99.9  1.69 |    3.02  ENV_lagoon_water                 |  2.99 ENV_lagoon_water           |  3.81  water
    125   5.2 |  -10.4   99.9  1.71 |    3.04  ENV_lagoon_water                 |  3.01 ENV_lagoon_water           |  4.21  water
    129   5.3 |   -9.7   99.9  1.73 |    3.06  ENV_lagoon_water                 |  3.03 ENV_lagoon_water           |  4.64  water
    133   5.5 |   -8.9   99.9  1.75 |    3.09  ENV_lagoon_water                 |  3.05 ENV_lagoon_water           |  5.05  water
    137   5.7 |   -8.0   99.9  1.78 |    3.11  ENV_lagoon_water                 |  3.08 ENV_lagoon_water           |  5.47  water
    141   5.8 |   -7.0   99.9  1.81 |    3.14  ENV_lagoon_water                 |  3.11 ENV_lagoon_water           |  5.89  water
    145   6.0 |   -6.0   99.9  1.84 |    2.93  ENV_terrain_ground               |  3.30 ENV_terrain_ground         |  6.31  water
    149   6.2 |   -4.9   99.9  1.87 |    2.65  ENV_terrain_ground               |  2.74 ENV_terrain_ground         |  6.72  water
    153   6.3 |   -3.8   99.9  1.90 |    2.49  ENV_terrain_ground               |  2.46 ENV_terrain_ground         |  7.14  water
    157   6.5 |   -2.5   99.9  1.94 |    2.46  ENV_terrain_ground               |  2.44 ENV_terrain_ground         |  7.55  water
    161   6.7 |   -1.2   99.8  1.98 |    2.49  ENV_terrain_ground               |  2.47 ENV_terrain_ground         |  7.97  water
    165   6.8 |    0.1   99.8  2.02 |    2.53  ENV_terrain_ground               |  2.51 ENV_terrain_ground         |  8.38  water
    169   7.0 |    1.6   99.6  2.06 |    2.58  ENV_terrain_ground               |  2.56 ENV_terrain_ground         |  8.80  water
    173   7.2 |    3.1   99.5  2.11 |    2.63  ENV_terrain_ground               |  2.61 ENV_terrain_ground         |  9.19  water
    177   7.3 |    4.6   99.2  2.16 |    2.72  ENV_terrain_ground               |  2.73 ENV_terrain_ground         |  9.20  water
    181   7.5 |    6.1   99.0  2.20 |    2.83  ENV_terrain_ground               |  2.85 ENV_terrain_ground         |  9.20  water
    185   7.7 |    7.6   98.7  2.25 |    3.19  ENV_terrain_ground               |  3.51 ENV_terrain_ground         |  9.20  water
    189   7.8 |    9.1   98.4  2.30 |    3.64  ENV_terrain_ground               |  3.60 ENV_lagoon_water           |  9.20  water
    193   8.0 |   10.6   98.0  2.35 |    3.69  ENV_lagoon_water                 |  3.65 ENV_lagoon_water           |  9.20  water
    197   8.2 |   12.1   97.6  2.40 |    3.74  ENV_lagoon_water                 |  3.70 ENV_lagoon_water           |  9.20  water
    201   8.3 |   13.5   97.2  2.45 |    3.79  ENV_lagoon_water                 |  3.75 ENV_lagoon_water           |  9.20  water
    205   8.5 |   15.0   96.7  2.50 |    3.84  ENV_lagoon_water                 |  3.80 ENV_lagoon_water           |  9.20  water
    209   8.7 |   16.4   96.2  2.55 |    3.90  ENV_lagoon_water                 |  3.85 ENV_lagoon_water           |  9.20  water
    213   8.8 |   17.9   95.6  2.60 |    3.95  ENV_lagoon_water                 |  3.90 ENV_lagoon_water           |  9.20  water
    217   9.0 |   19.3   95.0  2.65 |    3.99  ENV_lagoon_water                 |  3.95 ENV_lagoon_water           |  9.20  water
    221   9.2 |   20.7   94.5  2.70 |    4.04  ENV_lagoon_water                 |  4.00 ENV_lagoon_water           |  9.20  water
    225   9.3 |   22.1   93.8  2.74 |    4.09  ENV_lagoon_water                 |  4.04 ENV_lagoon_water           |  9.20  water
    229   9.5 |   23.5   93.2  2.79 |    4.13  ENV_lagoon_water                 |  4.09 ENV_lagoon_water           |  9.20  water
    233   9.7 |   24.9   92.6  2.83 |    4.17  ENV_lagoon_water                 |  4.13 ENV_lagoon_water           |  9.20  water
    237   9.8 |   26.3   92.0  2.87 |    4.21  ENV_lagoon_water                 |  4.17 ENV_lagoon_water           |  9.20  water
    241  10.0 |   27.7   91.4  2.91 |    4.25  ENV_lagoon_water                 |  4.21 ENV_lagoon_water           |  9.20  water
    245  10.2 |   29.1   90.7  2.95 |    4.30  ENV_lagoon_water                 |  4.25 ENV_lagoon_water           |  9.20  water
    249  10.3 |   30.5   90.1  2.99 |    4.34  ENV_lagoon_water                 |  4.29 ENV_lagoon_water           |  9.20  water
    253  10.5 |   31.9   89.4  3.03 |    4.37  ENV_lagoon_water                 |  4.33 ENV_lagoon_water           |  9.20  water
    257  10.7 |   33.2   88.7  3.06 |    4.41  ENV_lagoon_water                 |  4.36 ENV_lagoon_water           |  9.20  water
    261  10.8 |   34.5   87.9  3.10 |    4.44  ENV_lagoon_water                 |  4.40 ENV_lagoon_water           |  9.20  water
    265  11.0 |   35.8   87.1  3.13 |    4.47  ENV_lagoon_water                 |  4.43 ENV_lagoon_water           |  9.20  water
    269  11.2 |   37.1   86.2  3.15 |    4.50  ENV_lagoon_water                 |  4.45 ENV_lagoon_water           |  9.20  water
    273  11.3 |   38.3   85.3  3.17 |    4.52  ENV_lagoon_water                 |  4.47 ENV_lagoon_water           |  9.20  water
    277  11.5 |   39.5   84.4  3.19 |    4.54  ENV_lagoon_water                 |  4.49 ENV_lagoon_water           |  9.20  water
    281  11.7 |   40.7   83.4  3.21 |    4.56  ENV_lagoon_water                 |  4.51 ENV_lagoon_water           |  9.20  water
    285  11.8 |   41.9   82.4  3.22 |    4.56  ENV_lagoon_water                 |  4.52 ENV_lagoon_water           |  9.20  water
    289  12.0 |   43.0   81.4  3.22 |    4.56  ENV_lagoon_water                 |  4.52 ENV_lagoon_water           |  9.20  water
    293  12.2 |   44.1   80.3  3.21 |    4.55  ENV_lagoon_water                 |  4.51 ENV_lagoon_water           |  9.20  water
    297  12.3 |   45.2   79.2  3.19 |    4.54  ENV_lagoon_water                 |  4.49 ENV_lagoon_water           |  9.20  water
    301  12.5 |   46.2   78.0  3.17 |    4.52  ENV_lagoon_water                 |  4.47 ENV_lagoon_water           |  9.20  water
    305  12.7 |   47.2   76.9  3.15 |    4.50  ENV_lagoon_water                 |  4.45 ENV_lagoon_water           |  9.20  water
    309  12.8 |   48.2   75.7  3.14 |    4.48  ENV_lagoon_water                 |  4.44 ENV_lagoon_water           |  9.20  water
    313  13.0 |   49.1   74.5  3.12 |    4.47  ENV_lagoon_water                 |  4.42 ENV_lagoon_water           |  9.20  water
    317  13.2 |   50.0   73.3  3.12 |    4.46  ENV_lagoon_water                 |  4.42 ENV_lagoon_water           |  9.20  water
    321  13.3 |   51.0   72.0  3.12 |    4.46  ENV_lagoon_water                 |  4.42 ENV_lagoon_water           |  9.20  water
    325  13.5 |   51.9   70.8  3.13 |    4.48  ENV_lagoon_water                 |  4.43 ENV_lagoon_water           |  9.20  water
    329  13.7 |   52.8   69.6  3.15 |    4.50  ENV_lagoon_water                 |  4.45 ENV_lagoon_water           |  9.20  water
    333  13.8 |   53.7   68.4  3.19 |    4.54  ENV_lagoon_water                 |  4.49 ENV_lagoon_water           |  9.20  water
    337  14.0 |   54.6   67.1  3.23 |    4.57  ENV_lagoon_water                 |  4.53 ENV_lagoon_water           |  9.20  water
    341  14.2 |   55.5   65.9  3.26 |    4.60  ENV_lagoon_water                 |  4.56 ENV_lagoon_water           |  9.20  water
    345  14.3 |   56.4   64.6  3.28 |    4.63  ENV_lagoon_water                 |  4.58 ENV_lagoon_water           |  9.20  water
    349  14.5 |   57.2   63.3  3.31 |    4.66  ENV_lagoon_water                 |  4.61 ENV_lagoon_water           |  9.20  water
    353  14.7 |   58.0   62.0  3.35 |    4.70  ENV_lagoon_water                 |  4.65 ENV_lagoon_water           |  9.20  water
    357  14.8 |   58.8   60.7  3.42 |    4.77  ENV_lagoon_water                 |  4.72 ENV_lagoon_water           |  9.20  water
    361  15.0 |   59.6   59.4  3.53 |    4.88  ENV_lagoon_water                 |  4.83 ENV_lagoon_water           |  9.20  water
    365  15.2 |   60.5   58.1  3.67 |    5.02  ENV_lagoon_water                 |  4.97 ENV_lagoon_water           |  9.20  water
    369  15.3 |   61.3   56.9  3.85 |    5.20  ENV_lagoon_water                 |  5.15 ENV_lagoon_water           |  9.20  water
    373  15.5 |   62.2   55.7  4.06 |    5.42  ENV_lagoon_water                 |  5.36 ENV_lagoon_water           |  8.85  water
    377  15.7 |   63.1   54.6  4.39 |    5.75  ENV_lagoon_water                 |  5.69 ENV_lagoon_water           |  8.44  water
    381  15.8 |   63.9   53.6  4.81 |    6.18  ENV_lagoon_water                 |  6.11 ENV_lagoon_water           |  8.02  water
